date,open,high,low,close,volume
2020-12-01,3388.987,3457.635,3386.911,3451.938,31618898000
2020-12-02,3453.518,3465.729,3435.871,3449.381,31281111400
2020-12-03,3448.54,3452.161,3428.804,3442.136,29845993000
2020-12-04,3436.729,3448.404,3417.048,3444.581,25627670500
2020-12-07,3446.648,3449.578,3414.314,3416.604,25452250800
2020-12-08,3417.694,3428.662,3403.026,3410.177,22690732800
2020-12-09,3416.078,3422.536,3371.916,3371.964,26074742400
2020-12-10,3365.731,3384.888,3357.753,3373.276,24730830400
2020-12-11,3381.008,3383.178,3325.172,3347.191,29861715800
2020-12-14,3349.534,3371.129,3338.626,3369.12,23980792600
2020-12-15,3366.581,3373.558,3348.419,3367.233,22566740200
2020-12-16,3371.263,3378.663,3359.171,3366.983,22081397600
2020-12-17,3367.277,3406.155,3354.011,3404.873,27546363100
2020-12-18,3400.486,3413.813,3382.751,3394.896,28099264100
2020-12-21,3394.395,3423.609,3381.116,3420.569,28375979400
2020-12-22,3410.968,3415.754,3353.858,3356.782,32303765400
2020-12-23,3362.472,3394.209,3360.202,3382.32,29952352700
2020-12-24,3382.193,3394.075,3354.022,3363.113,27504445000
2020-12-25,3351.79,3397.007,3348.345,3396.563,29454689500
2020-12-28,3396.359,3412.519,3383.654,3397.285,31618154200
2020-12-29,3399.294,3407.088,3376.088,3379.036,31176918500
2020-12-30,3375.009,3414.454,3374.416,3414.453,29102354300
2020-12-31,3419.727,3474.918,3419.727,3473.069,33567392600
2021-01-04,3474.679,3511.655,3457.206,3502.958,38079080000
2021-01-05,3492.191,3528.677,3484.715,3528.677,40799593400
2021-01-06,3530.907,3556.802,3513.126,3550.877,37023092600
2021-01-07,3552.909,3576.205,3526.617,3576.205,40534822600
2021-01-08,3577.692,3588.063,3544.891,3570.108,34555789600
2021-01-11,3571.321,3597.702,3516.986,3531.498,36247915400
2021-01-12,3518.011,3608.339,3517.469,3608.339,32340615300
2021-01-13,3613.281,3622.348,3575.595,3598.652,38812779100
2021-01-14,3584.932,3599.058,3559.6,3565.905,34766681900
2021-01-15,3566.285,3589.266,3533.788,3566.378,32461274400
2021-01-18,3554.798,3608.767,3544.261,3596.224,30165256500
2021-01-19,3596.356,3603.148,3553.024,3566.381,32343954100
2021-01-20,3564.121,3589.962,3556.443,3583.092,27227166100
2021-01-21,3590.925,3636.244,3585.802,3621.264,32746699500
2021-01-22,3616.54,3616.54,3585.034,3606.75,32446308400
2021-01-25,3605.361,3637.1,3591.02,3624.238,32734107000
2021-01-26,3610.969,3610.969,3564.742,3569.429,27813988400
2021-01-27,3567.549,3578.797,3546.492,3573.341,26410716100
2021-01-28,3534.669,3549.544,3496.879,3505.176,27086246100
2021-01-29,3521.718,3531.598,3446.547,3483.069,29366266400
2021-02-01,3477.172,3506.389,3469.875,3505.284,27756790100
2021-02-02,3510.808,3535.502,3495.568,3533.685,26454063000
2021-02-03,3531.149,3544.009,3508.507,3517.308,29735171600
2021-02-04,3503.779,3524.722,3465.771,3501.859,29883485400
2021-02-05,3509.487,3536.542,3492.962,3496.333,29014617400
2021-02-08,3504.563,3542.208,3492.129,3532.447,24979961900
2021-02-09,3539.773,3604.011,3528.676,3603.489,25382176000
2021-02-10,3612.613,3662.766,3612.505,3655.088,25794082400
2021-02-18,3721.087,3731.687,3663.664,3675.357,34030906500
2021-02-19,3661.783,3699.65,3634.015,3696.168,36105980400
2021-02-22,3707.191,3717.267,3642.445,3642.445,48882147800
2021-02-23,3617.701,3672.151,3617.701,3636.357,39887317400
2021-02-24,3638.936,3645.647,3531.594,3564.08,36215895200
2021-02-25,3595.542,3608.557,3568.474,3585.046,36623229900
2021-02-26,3514.565,3550.406,3500.704,3509.08,33328006700
2021-03-01,3531.48,3552.567,3511.989,3551.4,31548752600
2021-03-02,3566.852,3566.852,3485.364,3508.591,33983048600
2021-03-03,3500.158,3577.622,3498.719,3576.905,34765684600
2021-03-04,3546.641,3552.202,3487.376,3503.492,39361612000
2021-03-05,3463.309,3523.568,3456.667,3501.987,35640922300
2021-03-08,3524.983,3542.304,3421.215,3421.414,38704795400
2021-03-09,3415.339,3429.15,3328.312,3359.292,40765253900
2021-03-10,3389.839,3397.025,3354.823,3357.737,29974916600
2021-03-11,3369.902,3436.831,3369.902,3436.831,32211204400
2021-03-12,3447.203,3454.506,3417.239,3453.078,35802703500
2021-03-15,3441.882,3457.489,3392.509,3419.946,36781329300
2021-03-16,3424.652,3448.883,3406.175,3446.733,31666874700
2021-03-17,3435.732,3454.056,3410.282,3445.551,28005981800
2021-03-18,3449.641,3478.145,3449.377,3463.068,28440389100
2021-03-19,3423.873,3439.524,3389.293,3404.663,30916171600
2021-03-22,3406.123,3443.66,3404.234,3443.439,31255908400
2021-03-23,3445.341,3445.416,3390.048,3411.509,32638940900
2021-03-24,3394.128,3415.295,3362.185,3367.061,31739869700
2021-03-25,3355.071,3382.226,3344.97,3363.592,27067609700
2021-03-26,3373.317,3423.223,3373.317,3418.327,27461498700
2021-03-29,3429.632,3449.834,3409.887,3435.296,28482424300
2021-03-30,3432.529,3457.635,3423.315,3456.677,28542308100
2021-03-31,3452.208,3452.208,3420.832,3441.912,28304926100
2021-04-01,3444.81,3470.031,3438.826,3466.332,27524429500
2021-04-02,3472.628,3487.586,3462.832,3484.392,26265487300
2021-04-06,3491.634,3493.281,3471.761,3482.967,23474667100
2021-04-07,3483.421,3483.421,3453.195,3479.626,29578697800
2021-04-08,3467.487,3495.909,3459.325,3482.555,33175532900
2021-04-09,3475.443,3475.447,3442.139,3450.677,28008519600
2021-04-12,3445.97,3456.158,3403.901,3412.948,30957723900
2021-04-13,3411.293,3425.395,3387.902,3396.47,27062605400
